iter	Passed	Remaining
398	99360	149663
399	99596	149394
400	99813	149098
401	100031	148803
402	100255	148517
403	100454	148195
404	100659	147882
405	100945	147688
406	101204	147455
407	101475	147238
408	101758	147039
409	102059	146865
410	102318	146632
411	102581	146402
412	102880	146224
413	103155	146012
414	103424	145790
415	103650	145509
416	103871	145220
417	104118	144969
418	104327	144663
419	104620	144476
420	104861	144215
421	105096	143946
422	105295	143630
423	105519	143347
424	105731	143048
425	105935	142738
426	106152	142448
427	106361	142146
428	106584	141863
429	106794	141564
430	107015	141280
431	107247	141010
432	107451	140704
433	107658	140402
434	107892	140136
435	108099	139835
436	108330	139565
437	108542	139271
438	108767	138994
439	108967	138686
440	109206	138427
441	109416	138132
442	109642	137856
443	109860	137573
444	110067	137275
445	110292	137000
446	110512	136718
447	110744	136452
448	110958	136165
449	111179	135886
450	111414	135624
451	111617	135324
452	111816	135018
453	112022	134722
454	112229	134429
455	112428	134125
456	112653	133853
457	112852	133550
458	113070	133270
459	113268	132967
460	113469	132668
461	113666	132364
462	113888	132091
463	114113	131820
464	114329	131540
465	114569	131287
466	114802	131026
467	115043	130775
468	115268	130506
469	115480	130222
470	115650	129892
471	115844	129588
472	116037	129284
473	116237	128989
474	116456	128714
475	116659	128423
476	116868	128138
477	117070	127846
478	117276	127559
479	117500	127292
480	117725	127026
481	117942	126751
482	118139	126455
483	118358	126184
484	118565	125899
485	118799	125643
486	118998	125351
487	119251	125116
488	119474	124849
489	119674	124558
490	119904	124300
491	120124	124030
492	120356	123774
493	120565	123494
494	120787	123228
495	121088	123042
496	121452	122919
497	121786	122764
498	122067	122556
499	122309	122309
500	122576	122086
501	122834	121855
502	123095	121627
503	123368	121410
504	123638	121190
505	123886	120948
506	124185	120756
507	124437	120518
508	124734	120323
509	124945	120045
510	125193	119803
511	125374	119497
512	125637	119270
513	125880	119022
514	126123	118776
515	126346	118510
516	126598	118273
517	126864	118048
518	127099	117793
519	127345	117549
520	127606	117319
521	127875	117096
522	128152	116881
523	128507	116736
524	128864	116591
525	129171	116401
526	129514	116243
527	129825	116055
528	130115	115849
529	130448	115680
530	130725	115461
531	131077	115308
532	131431	115156
533	131683	114915
534	131933	114670
535	132199	114440
536	132423	114175
537	132654	113915
538	132895	113663
539	133155	113429
540	133429	113205
541	133687	112968
542	133935	112722
543	134212	112501
544	134468	112263
545	134739	112036
546	134960	111768
547	135191	111508
548	135410	111238
549	135637	110976
550	135864	110713
551	136074	110437
552	136301	110174
553	136537	109919
554	136802	109688
555	137074	109462
556	137371	109256
557	137643	109029
558	137866	108763
559	138156	108551
560	138397	108300
561	138645	108054
562	138941	107846
563	139163	107580
564	139433	107351
565	139697	107117
566	139960	106883
567	140194	106626
568	140413	106358
569	140712	106151
570	140986	105924
571	141285	105716
572	141543	105478
573	141814	105249
574	142072	105009
575	142359	104792
